"index","date","country","confirmed","deaths","recovered"
392,"2020-01-24",Belarus,0.0,0.0,0.0
393,"2020-01-24",Belgium,0.0,0.0,0.0
394,"2020-01-24",Belize,0.0,0.0,0.0
395,"2020-01-24",Benin,0.0,0.0,0.0
396,"2020-01-24",Bhutan,0.0,0.0,0.0
397,"2020-01-24",Bolivia,0.0,0.0,0.0
398,"2020-01-24",Bosnia and Herzegovina,0.0,0.0,0.0
399,"2020-01-24",Botswana,0.0,0.0,0.0
400,"2020-01-24",Brazil,0.0,0.0,0.0
401,"2020-01-24",Brunei,0.0,0.0,0.0
402,"2020-01-24",Bulgaria,0.0,0.0,0.0
403,"2020-01-24",Burkina Faso,0.0,0.0,0.0
404,"2020-01-24",Burma,0.0,0.0,0.0
405,"2020-01-24",Burundi,0.0,0.0,0.0
406,"2020-01-24",Cabo Verde,0.0,0.0,0.0
407,"2020-01-24",Cambodia,0.0,0.0,0.0
408,"2020-01-24",Cameroon,0.0,0.0,0.0
409,"2020-01-24",Central African Republic,0.0,0.0,0.0
410,"2020-01-24",Chad,0.0,0.0,0.0
411,"2020-01-24",Chile,0.0,0.0,0.0
412,"2020-01-24",Colombia,0.0,0.0,0.0
413,"2020-01-24",Comoros,0.0,0.0,0.0
414,"2020-01-24",Congo (Brazzaville),0.0,0.0,0.0
415,"2020-01-24",Congo (Kinshasa),0.0,0.0,0.0
416,"2020-01-24",Costa Rica,0.0,0.0,0.0
417,"2020-01-24",Cote d'Ivoire,0.0,0.0,0.0
418,"2020-01-24",Croatia,0.0,0.0,0.0
419,"2020-01-24",Cuba,0.0,0.0,0.0
420,"2020-01-24",Cyprus,0.0,0.0,0.0
421,"2020-01-24",Czechia,0.0,0.0,0.0
422,"2020-01-24",Denmark,0.0,0.0,0.0
423,"2020-01-24",Diamond Princess,0.0,0.0,0.0
424,"2020-01-24",Djibouti,0.0,0.0,0.0
425,"2020-01-24",Dominica,0.0,0.0,0.0
426,"2020-01-24",Dominican Republic,0.0,0.0,0.0
427,"2020-01-24",Ecuador,0.0,0.0,0.0
428,"2020-01-24",Egypt,0.0,0.0,0.0
429,"2020-01-24",El Salvador,0.0,0.0,0.0
430,"2020-01-24",Equatorial Guinea,0.0,0.0,0.0
431,"2020-01-24",Eritrea,0.0,0.0,0.0
432,"2020-01-24",Estonia,0.0,0.0,0.0
433,"2020-01-24",Eswatini,0.0,0.0,0.0
434,"2020-01-24",Ethiopia,0.0,0.0,0.0
435,"2020-01-24",Fiji,0.0,0.0,0.0
436,"2020-01-24",Finland,0.0,0.0,0.0
437,"2020-01-24",France,2.0,0.0,0.0
438,"2020-01-24",Gabon,0.0,0.0,0.0
439,"2020-01-24",Gambia,0.0,0.0,0.0
440,"2020-01-24",Georgia,0.0,0.0,0.0
441,"2020-01-24",Germany,0.0,0.0,0.0
442,"2020-01-24",Ghana,0.0,0.0,0.0
443,"2020-01-24",Greece,0.0,0.0,0.0
444,"2020-01-24",Grenada,0.0,0.0,0.0
445,"2020-01-24",Guatemala,0.0,0.0,0.0
446,"2020-01-24",Guinea,0.0,0.0,0.0
447,"2020-01-24",Guinea-Bissau,0.0,0.0,0.0
448,"2020-01-24",Guyana,0.0,0.0,0.0
449,"2020-01-24",Haiti,0.0,0.0,0.0
450,"2020-01-24",Holy See,0.0,0.0,0.0
451,"2020-01-24",Honduras,0.0,0.0,0.0
452,"2020-01-24",Hungary,0.0,0.0,0.0
453,"2020-01-24",Iceland,0.0,0.0,0.0
454,"2020-01-24",India,0.0,0.0,0.0
455,"2020-01-24",Indonesia,0.0,0.0,0.0
456,"2020-01-24",Iran,0.0,0.0,0.0
457,"2020-01-24",Iraq,0.0,0.0,0.0
458,"2020-01-24",Ireland,0.0,0.0,0.0
459,"2020-01-24",Israel,0.0,0.0,0.0
460,"2020-01-24",Italy,0.0,0.0,0.0
461,"2020-01-24",Jamaica,0.0,0.0,0.0
462,"2020-01-24",Japan,0.0,0.0,0.0
463,"2020-01-24",Jordan,0.0,0.0,0.0
464,"2020-01-24",Kazakhstan,0.0,0.0,0.0
465,"2020-01-24",Kenya,0.0,0.0,0.0
466,"2020-01-24","Korea, South",1.0,0.0,0.0
467,"2020-01-24",Kosovo,0.0,0.0,0.0
468,"2020-01-24",Kuwait,0.0,0.0,0.0
469,"2020-01-24",Kyrgyzstan,0.0,0.0,0.0
470,"2020-01-24",Laos,0.0,0.0,0.0
471,"2020-01-24",Latvia,0.0,0.0,0.0
472,"2020-01-24",Lebanon,0.0,0.0,0.0
473,"2020-01-24",Lesotho,0.0,0.0,0.0
474,"2020-01-24",Liberia,0.0,0.0,0.0
475,"2020-01-24",Libya,0.0,0.0,0.0
476,"2020-01-24",Liechtenstein,0.0,0.0,0.0
477,"2020-01-24",Lithuania,0.0,0.0,0.0
478,"2020-01-24",Luxembourg,0.0,0.0,0.0
479,"2020-01-24",MS Zaandam,0.0,0.0,0.0
480,"2020-01-24",Madagascar,0.0,0.0,0.0
481,"2020-01-24",Malawi,0.0,0.0,0.0
482,"2020-01-24",Malaysia,0.0,0.0,0.0
483,"2020-01-24",Maldives,0.0,0.0,0.0
484,"2020-01-24",Mali,0.0,0.0,0.0
485,"2020-01-24",Malta,0.0,0.0,0.0
486,"2020-01-24",Marshall Islands,0.0,0.0,0.0
487,"2020-01-24",Mauritania,0.0,0.0,0.0
488,"2020-01-24",Mauritius,0.0,0.0,0.0
489,"2020-01-24",Mexico,0.0,0.0,0.0
490,"2020-01-24",Micronesia,0.0,0.0,0.0
491,"2020-01-24",Moldova,0.0,0.0,0.0
492,"2020-01-24",Monaco,0.0,0.0,0.0
493,"2020-01-24",Mongolia,0.0,0.0,0.0
494,"2020-01-24",Montenegro,0.0,0.0,0.0
495,"2020-01-24",Morocco,0.0,0.0,0.0
496,"2020-01-24",Mozambique,0.0,0.0,0.0
497,"2020-01-24",Namibia,0.0,0.0,0.0
498,"2020-01-24",Nepal,0.0,0.0,0.0
499,"2020-01-24",Netherlands,0.0,0.0,0.0
500,"2020-01-24",New Zealand,0.0,0.0,0.0
501,"2020-01-24",Nicaragua,0.0,0.0,0.0
